,Dining Hall,Meal Period,Station,Dish,Serving Size,Calories (kcal),Total Lipid/Fat (g),Saturated fatty acid (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Total Dietary Fiber (g),Sugar (g),Added Sugar (g),Protein (g),Vitamin A (iu),Vitamin C (mg),Calcium (mg),Iron (mg),Vitamin A (rae),Phosphorus (mg),Potassium (mg),Vitamin D(iu),Allergens,Ingredients
Frary_Breakfast_Gluten Free Oatmeal/GAL,Frary,Breakfast,Soup Station,Gluten Free Oatmeal/GAL,234.45 GAL,214.89,3.7,0.63,NA,0,10.51,38.39,5.73,0.56,NA,7.46,0,0,34.82,2.41,0,0,N/A,N/A,,"Water, Whole Grain Oats"
Frary_Breakfast_Breakfast Salad Bar,Frary,Breakfast,Salad Bar,Breakfast Salad Bar,1.00 EA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23E-09,1.23E-09,N/A,N/A,,
Frary_Breakfast_Assorted Breakfast Desserts/NO NUTS,Frary,Breakfast,Desserts,Assorted Breakfast Desserts/NO NUTS,1.00 EA,17.5001,0.75,0.1875,0,0.625125,14.3749,2.625,0,1.37512,NA,0.124875,NA,0,0,0,4.61E-11,4.61E-11,N/A,N/A,"Egg, Milk, Soy, Wheat","May Contain Egg, Milk, Soy, Tree Nut (Coconut), Wheat and/or Gelatin"
Frary_Breakfast_Cinnamon Streusel Cake,Frary,Breakfast,Desserts,Cinnamon Streusel Cake,80.00 HFST,244.13,7.69,4.15,NA,22.34,246.97,40.84,1.18,20.69,NA,2.55,84,0,65.88,0.96,4.26,0,N/A,N/A,"Egg, Milk, Soy, Wheat","Enriched Bleached Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid, Malted Barley Flour), Sugar, Palm And Soybean Oil, Dextrose, Whey (Milk Protein), Food Starch-Modified. Less Than 2% Of: Baking Soda, Calcium Acid Pyrophosphate, Monocalcium Phosphate, Egg Yolks, Salt, Xanthan Gum, Beta Carotene (Color). Food Alliance Certified Shepherd`S Grain Sustainably Farmed Wheat Flour;Water;All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid);Unsalted Butter (Pasteurized Cream);Cane Sugar;Brown Sugar;Cinnamon;"
Frary_Lunch_Italian Roast Beef,Frary,Lunch,Mainline,Italian Roast Beef,85.00 FHP2,154.26,8.69,3,NA,51.74,60.57,0.39,0.13,0.01,NA,18.53,13.03,0.27,5.94,1.51,2.23,0,N/A,N/A,,"Beef;Garlic;Canola Oil, Virgin Olive Oil, Beta-carotene (color).;Dried Oregano;Thyme Leaves;Kosher Salt;Mustard Seed;Black Pepper;Onion Powder;Dried Rosemary;"
Frary_Lunch_Pasta/Cooked/Fettuccine,Frary,Lunch,Mainline,Pasta/Cooked/Fettuccine,85.05 FHP2,127.48,0.74,0.13,NA,0,28.41,25.23,1.08,0.9,NA,4.41,NA,NA,8.59,1.12,75.35,0,N/A,N/A,Wheat,"Water, Fettucine (Durum Semolina, Niacin, Ferrous Sulfate (Iron), Thiamine Mononitrate, Riboflavin, Folic Acid), Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Kosher Salt"
Frary_Lunch_Balsamic Roasted Vegetables,Frary,Lunch,Mainline,Balsamic Roasted Vegetables,85.00 FHP2,31.33,0.73,0.12,NA,NA,7.77,5.79,1.41,2.81,NA,0.89,273.07,27.57,14.34,0.25,55.45,0,N/A,N/A,,"Red Onion, Eggplant, Red Bell Pepper, Yellow Bell Pepper, Zucchini, Yellow Squash, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Balsamic Vinegar, Garlic, Dijon Mustard (Water, Vinegar, Mustard Seed, Salt, White Wine, Fruit Pectin, Citric Acid, Tartaric Acid, Sugar, Spice), Thyme, Basil"
Frary_Lunch_Mushrooms in Garlic,Frary,Lunch,Mainline,Mushrooms in Garlic,85.00 FHP2,42.11,0.76,0.12,NA,0,229.7,4.87,1.29,2.2,NA,3.49,186.23,7.15,10.72,0.73,342.9,7.41,N/A,N/A,,"Mushroom, Wine, Water, Neutral Spirits, Salt, High Fructose Corn Syrup, Tartaric Acid, Caramel Color, Citric Acid, Potassium Sorbate (Preservative), Potassium Metabisulfite (Preservative), Lemon, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Parsley, Garlic, Kosher Salt, Black Pepper"
Frary_Lunch_Marinara Sauce,Frary,Lunch,Mainline,Marinara Sauce,59.00 GAL,28.59,0.7,0,NA,0,229.47,4.81,0.49,1.44,NA,0.5,151.38,5.74,10.23,0.51,2.59,0,N/A,N/A,Soy,"Tomatoes, Tomato Puree, Soybean Oil, Corn Syrup, Sea Salt, Food Starch Modified, Dehydrated Onion, Dehydrated Garlic, Spices, Dextrose, Citric Acid., Carrot, Yellow Onion, Garlic, Tomatoes, Basil, Lemon Pepper (Salt, Black Pepper, Citric Acid, Onion, Sugar, Garlic, Calcium Stearate, Silicon Dioxide, Calcium Silicate, Celery Seed, Lemon Oil, FDC Yellow 5 Lake), Dried Parsley"
Frary_Lunch_Pesto Cream Sauce,Frary,Lunch,Mainline,Pesto Cream Sauce,58.00 GAL,183.31,16.2,8.28,NA,45.05,190.62,3.41,0.1,1.07,NA,4.04,395.92,0.62,110.89,0.21,14.22,0,N/A,N/A,"Milk, Wheat","Cream, Carrageenan, Mono And Diglycerides, Polysorbate 80 (Vegetarian), Milk, Vitamin D3, Basil Pesto (Basil, Canola Oil, Water, Parmesan Cheese, Granulated Garlic, Salt), Parmesan Cheese (Pasteurized Cow`s Milk, Cultures, Enzymes, Salt, Cellulose), Unsalted Butter (Pasteurized Cream), All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Wine, Salt, Contains 1% Or Less Of Each Of The Following: Malic Acid, Potassium Metabisulfite (Preservative), Garlic, Shallots, Nutmeg"
Frary_Lunch_SB Roll/Garlic Knot/Prebaked,Frary,Lunch,Mainline,SB Roll/Garlic Knot/Prebaked,1.00 EA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,"Milk, Soy, Wheat","Bread: Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Enzymes, Folic Acid), Water, Sugar, Yeast, Salt, Soybean Oil, Cultured Sugar (Cane, Corn), Malted Barley Flour, Enzymes, Ascorbic Acid. Topping: Margarine (Canola And/or Soybean Oil, Palm Oil And Palm Kernel Oils, Water, Salt, Soy Lecithin, Mono- And Diglycerides, Natural Butter Flavor, Annatto Extract Color, Vitamin A Palmitate Added), Butter Oil, Dehydrated Garlic, Natural Flavors, Dehydrated Parsley Flakes."
Frary_Lunch_Hawaiian Saimin Noodle Soup,Frary,Lunch,Expo Station,Hawaiian Saimin Noodle Soup,16.00 GAL,10.71,0.3,0.08,NA,3.57,64.55,1.32,0.06,0.3,NA,0.6,8.47,0.19,1.82,0.09,2.55,0,N/A,N/A,"Egg, Fish, Soy, Wheat, Sesame","Water, Yakisoba Noodles (Water, Enriched Wheat Flour ( Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid ), Soybean Oil, Potassium Sorbate And Sodium Benzoate Added To Retard Spoilage, Salt, Potassium Carbonate, Sodium Carbonate. Colored With FDC Yellow # 5 And Yellow Color # 6. Allergens: Wheat. Manufactured On Equipment That Processes Eggs.), Pork, Egg, Scallions, Enriched Flour (Wheat Flour, Enzyme, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Vegetable Oil (Soybean And/Or Cottonseed Oil), Water, Cornstarch, Salt, Sodium Benzoate (Preservative), Bean Sprouts, Tamari (Water, Soybeans, Salt, Alcohol (To Preserve Freshness))., Sugar, Water, Soybeans, Salt, Sweet Potato, Modified Corn Starch, Sesame Seeds, Garlic, Wheat Flour, Chili Pepper, Spices, Caramel Color, Acetic Acid, FDC Red Color No. 40., Alaska Pollock (Fish), Water, Modified Food Starch, Sugar, Salt, Sorbitol, Sweet Rice Wine, Natural And Artificial Flavors (Bonito), Monosodium Glutamate, Sodium Tripolyphosphate, Tetrasodium Pyrophosphate, Sodium Pyrophosphate, Color Added FDC Red #3, Soy Sauce (Water, Whole Soybeans (OCIA Certified), Salt, Alcohol (To Preserve Freshness)., Garlic, Rice, Water, Salt, Caramel, Chicken Meat Including Natural Juices, Salt, Cane Sugar, Maltodextrin, Flavoring, Yeast Extract, Potato Starch, Turmeric, Natural Flavor, Clover Honey, Dashi (Dried Kelp, Cured Bonito Flakes), Cane Sugar, Ginger, Sesame Seed Oil, Brown Sugar, Chinese Five Spice (Anise, Cinnamon, Star Anise, Cloves, Ginger, Sulfiting Agents)"
Frary_Lunch_Cheese Pizza,Frary,Lunch,Pizza,Cheese Pizza,78.00 PIZ,166.8,6.12,2.83,NA,17.57,495.3,19.28,1.24,1.53,NA,9.07,224.75,1.19,186.44,1.3,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Parmesan Cheese (Pasteurized Cow`s Milk, Cultures, Enzymes, Salt, Cellulose)"
Frary_Lunch_Pepperoni Pizza,Frary,Lunch,Pizza,Pepperoni Pizza,117.00 PIZ,252.57,10.19,4.28,0,27.71,761.15,28.63,1.86,2.24,NA,12.16,276.17,1.79,206.57,1.88,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Pork, Beef, Salt, Contains 2% Or Less Of Water, Spice, Seasoning (Cane Sugar, Celery Juice Powder), Seasoning (Extractives Of Paprika, Natural Spice Extractives), Lactic Acid Starter Culture, Mustard Present. No Nitrites Or Nitrates Added Except For Those Naturally Occurring In Natural Flavoring"
Frary_Lunch_Hawaiian Pizza,Frary,Lunch,Pizza,Hawaiian Pizza,116.00 PIZ,199.04,6.32,2.69,NA,23.77,632.14,25.07,1.77,2.97,NA,11.34,436.62,7.64,168.81,1.7,15.72,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Pineapple, Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Smoked Ham (Solution Ingredients: Water, Salt, Turbinado Sugar, Natural Flavor, Lactic Acid Starter Culture (Not From Milk)), Cilantro"
Frary_Lunch_VEGAN BAR (name only),Frary,Lunch,Pizza,VEGAN BAR (name only),1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Frary_Lunch_Baked Tempeh,Frary,Lunch,Pizza,Baked Tempeh,85.00 FHP2,162.87,5.69,0.74,NA,NA,1226.61,15.84,3.22,7.46,NA,11.86,21.88,0.73,31.67,1.02,147.06,0,N/A,N/A,"Soy, Sesame","Cultured Organic Soybeans, Water, Organic Brown Rice;Soy Sauce (Water, Whole Soybeans (OCIA certified), Salt, Alcohol (to preserve freshness).;Rice Wine Vinegar, Sugar, Salt, Potassium Metabisulfite (as a preservative);Brown Sugar;Sesame Seed Oil;Chili, sugar, salt, garlic, distilled vinegar, potassium sorbate, sodium bisulfite as preservatives and xanthan gum. Contains Sulphite;Garlic;Ginger;"
Frary_Lunch_Baked Shred Oats,Frary,Lunch,Pizza,Baked Shred Oats,85.00 FHP2,139.98,2.88,0.47,0,NA,1318.53,14.97,2.81,7.43,NA,14.47,NA,NA,16.07,1.83,0,0,N/A,N/A,Soy,"Water, Oat (oat Bran, Whole Grain Oat Flour, Oat Protein), Pea Protein, Fava Bean Protein, Canola Oil;Soy Sauce (Water, Whole Soybeans (OCIA certified), Salt, Alcohol (to preserve freshness).;Rice Wine Vinegar, Sugar, Salt, Potassium Metabisulfite (as a preservative);Brown Sugar;Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil;Garlic;"
Frary_Lunch_Farro/Cooked,Frary,Lunch,Pizza,Farro/Cooked,85.00 FHP2,95.08,0.71,0,NA,0,2.41,17.59,3.33,0,NA,3.33,0,0,11.32,0.86,0,0,N/A,N/A,Wheat,"Water, Farro"
Frary_Lunch_Sticky Rice,Frary,Lunch,Pizza,Sticky Rice,85.00 FHP2,108.22,0,0,NA,0,2.16,24.35,0,0,NA,2.03,0,0,1.62,0.24,0,0,N/A,N/A,,"Water, Calrose Rice"
Frary_Lunch_Sauce/Teriyaki Wing Sauce,Frary,Lunch,Pizza,Sauce/Teriyaki Wing Sauce,0.25 GAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,"Soy, Wheat, Sesame","High Fructose Corn Syrup, Soy Sauce (water, Wheat, Soybeans, Salt, Sodium Benzoate preservative), Sugar, Water, Distilled Vinegar, Modified Corn Starch, Contains Less Than 2% Of Sesame Seed, Vegetable Oil (soybean And/or Canola), Pineapple Juice Concentrate, Ginger, Rice Vinegar, Salt, Spice, Sodium Bisulfate, Garlic, Xanthan Gum, Caramel Color, Potassium Sorbate And Sodium Benzoate (preservatives), Green Onion, Citric Acid. dried."
Frary_Lunch_Steamed Cauliflower,Frary,Lunch,Pizza,Steamed Cauliflower,8229.98 FHP2,2057.49,23.0439,4.93799,0,0,2468.99,409.03,164.6,157.193,NA,158.016,0,3966.85,1810.59,34.5659,24607.6,0,N/A,N/A,,Cauliflower;
Frary_Lunch_HALAL California Chicken Sandwich,Frary,Lunch,Grill Station,HALAL California Chicken Sandwich,361.00 EA,609.06,30.23,8.03,NA,109.43,820.47,55.59,6.9,4.86,NA,30.51,979.85,14.1,229.17,3.32,38.23,0,N/A,N/A,"Egg, Milk, Soy, Wheat","Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Water, Extra Virgin Olive Oil, Contains 2% Or Less Of: Sea Salt, Yeast., Halal Chicken Thighs, Avocado, Tomato, Pasteurized Milk, Jalapeno Peppers, Cheese Cultures, Salt And Enzymes, Iceberg Lettuce, Red Onion, Soybean Oil, Vinegar, High Fructose Corn Syrup, Water, Tomato Puree (Water, Tomato Paste), Sweet Relish (Cucumbers, High Fructose Corn Syrup, Vinegar, Sugar, Salt, Mustard Seed, Red Bell Pepper, Water, Xanthan Gum), Corn Syrup, Egg Yolk, Contains Less Than 2% Of : Salt, Onion Powder, Garlic Powder, Natural Flavor, Spice, Mustard Flour, Xanthan Gum, Polysorbate 60, Sodium Benzoate (Preservative), Onion, Garlic, Oleoresin Paprika (Color), Calcium Disodium EDTA (To Protect Flavor), Red Bell Pepper., Kosher Salt"
Frary_Lunch_Beyond Burger Patty,Frary,Lunch,Grill Station,Beyond Burger Patty,113.00 EA,280,20,6,0,0,390,6,2,0,NA,20,NA,NA,NA,NA,NA,NA,N/A,N/A,,"Water, Pea Protein Isolate, Expeller-Pressed Canola Oil, Refined Coconut Oil, Rice Protein, Natural Flavors, Mung Bean Protein, Methylcellulose, Potato Starch, Apple Extract, Salt, Potassium Chloride, Vinegar, Lemon Juice Concentrate, Sunflower Lecithin, Beet Juice Extract (for color), Pomegranate Fruit Powder, Lycopene Color (from Tomato)"
Frary_Lunch_French Fries,Frary,Lunch,Grill Station,French Fries,85.00 FHP2,104.76,3.34,0,0,0,28.57,17.15,1.9,0,NA,1.9,0,4.57,0,0.34,0,0,N/A,N/A,Soy,"Fries (Potatoes, Vegetable Oil (Contains One Or More Of The Following Oils: Canola, Soybean, Cottonseed, Sunflower, Corn), Contains 2% Or Less Of Dextrose, Sodium Acid Pyrophosphate Added To Maintain Natural Color)"
Frary_Lunch_Onion Rings,Frary,Lunch,Grill Station,Onion Rings,85.00 FHP2,130.24,0,0,0,0,503.58,28.65,0.87,2.6,NA,3.47,0,2.09,0,0.63,0,0,N/A,N/A,"Milk, Wheat","Onion Ring (Onions, Water, Bleached Wheat Flour, Enriched Wheat Flour (Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Yellow Corn Flour, Enriched Bleached Wheat Flour (Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Potato Starch, Contains 2% Or Less Of Dextrose, Natural Flavor, Salt, Whey, Yeast)"
Frary_Lunch_Bun/Hamburger/4.5in/2.7oz/EA,Frary,Lunch,Grill Station,Bun/Hamburger/4.5in/2.7oz/EA,76.00 EA,180,2.5,0,0,0,310,33,1,5,4,6,0,0,40,1.8,NA,NA,N/A,N/A,"Soy, Wheat, Sesame","Enriched Unbleached Wheat Flour (wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin And Folic Acid), Water, Sugar, Yeast, Soybean Oil, Contains 2% Or Less Of Each Of The Following: Vital Wheat Gluten, Salt, Yeast Nutrient (ammonium Sulfate), Dough Conditioners (sodium Stearoyl Lactylate, Ascorbic Acid, Monocalcium Phosphate), Enzymes, Calcium Propionate (mold Inhibitor), Sesame Flour."
Frary_Lunch_French Onion Soup/BM,Frary,Lunch,Soup Station,French Onion Soup/BM,248.00 BM,126.67,4.29,0.36,0.01,1.47,569.01,16.62,2.4,7.41,NA,2.13,12.8,10.57,38.89,0.43,0,0,N/A,N/A,,"Water, White Onion, Marsala Cooking Wine (Marsala Wine, Salt, Potassium Metabisulfite, Potassium Sorbate), Beef Base (Roasted Beef And Natural Juices, Maltodextrin, Salt, Cane Sugar, Beef Stock, Beef Fat, Yeast Extract, Potato Starch, Celery Concentrate, Dried Garlic, Dried Onion, Caramel Color, Natural Flavorm Organic), Canola Oil, Thyme, Garlic, Kosher Salt, Black Pepper, Bay Leaf"
Frary_Lunch_Crostini,Frary,Lunch,Soup Station,Crostini,40.00 LOAF,137.01,5.32,3.08,NA,11.53,304.74,16.38,0.74,0,NA,5.25,183.88,0.34,72.2,0.91,0,0,N/A,N/A,"Milk, Wheat","French Baguette (Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Sour Culture, Salt, Yeast, Semolina.);Gouda cheese (milk, cheese cultures, enzymes, salt), water, sodium phosphate, potassium sorbate (preservative), apo-carotenal for color.;Pasteurized Part Skim Milk, Cheese Culture, Salt, Enzymes, Vitamin A;Unsalted Butter (Pasteurized Cream);Parsley;Thyme;Basil;Kosher Salt;Black Pepper;"
Frary_Lunch_Thai Mango Salad (no peanuts),Frary,Lunch,Salad Bar,Thai Mango Salad (no peanuts),85.00 FHP4,50.75,2.24,0.27,NA,NA,380.3,6.65,1.25,4.29,NA,2.06,1548.8,13.37,16.75,0.51,88.68,0,N/A,N/A,"Soy, Sesame","Iceberg Lettuce, Mango, Romaine Hearts, Rice Wine Vinegar, Sugar, Salt, Potassium Metabisulfite (As A Preservative), Cilantro, Red Bell Pepper, Soy Sauce (Water, Whole Soybeans (OCIA Certified), Salt, Alcohol (To Preserve Freshness)., Roasted Sunflower Seeds, Sugar, Mono And Diglycerides, Salt, Water, Lime Juice (Lime Juice From Concentrate (Water, Concentrated Lime Juice), Sodium Benzoate (Preservative), Lime Oil, Sodium Metabisulfite (Preservative).), Scallions, Pure Clover Honey, Jalapeno, Sesame Seed Oil, Garlic, Ginger, Crushed Red Pepper,"
Frary_Lunch_Chocolate Chip Cookie Cupcake,Frary,Lunch,Desserts,Chocolate Chip Cookie Cupcake,82.00 CUPC,390.17,22.26,13.83,NA,37.84,213.22,46.45,2.07,32.86,NA,2.23,413.33,0.68,56.43,0.56,0,0,N/A,N/A,"Milk, Soy, Wheat","Sugar, Enriched Bleached Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Palm And Soybean Oil. Less Than 2% Of: Propylene Glycol Ester, Polyglycerol Esters Of Fatty Acids And Mono-Diglycerides, Monoglycerides, Sodium Stearoyl Lactylate, Polysorbate 60, Soy Lecithin, Dextrose, Baking Soda, Aluminum Sulfate, Sodium Aluminum Phosphate, Monocalcium Phosphate, Food Starch-Modified, Soy Flour, Salt, Guar Gum, Xanthan Gum, Ascorbic Acid, Artificial Flavor., Sugar, Chocolate Liquor, Cocoa Butter, Soya Lecithin (An Emulsifier), Vanilla Extract., Unsalted Butter (Pasteurized Cream), Cream, Carrageenan, Mono And Diglycerides, Polysorbate 80. (Vegetarian), Milk Chocolate (Sugar, Chocolate, Cocoa Butter, Skim Milk, Milkfat, Lactose, Soy Lecithin, Salt, Artificial Flavors), Sugar, Cornstarch, Less Than 1% - Corn Syrup, Gum Acacia, Coloring (Includes Red 40 Lake, Yellow 6, Blue 2 Lake, Yellow 5, Blue 1 Lake, Red 40, Blue 1), Dextrin"
Frary_Lunch_Hot Fudge Pudding Cake,Frary,Lunch,Desserts,Hot Fudge Pudding Cake,142.00 SERV,389,16.02,9.37,NA,40.87,176.71,61.6,2.63,44.05,NA,4.14,535.12,0.14,87.57,3.22,15.13,0,N/A,N/A,"Milk, Wheat","Water;Cane Sugar;Unsalted Butter (Pasteurized Cream);Milk, Vitamin D3;All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid);Brown Sugar;Natural Process Cocoa;Water, Sugar, Propylene Glycol, Vanillin, Caramel Color, Potassium Sorbate, Citric Acid and Ethyl Vanillin.;Baking Powder (Monocalcium Phosphate, Sodium Bicarbonate, Cornstarch).;Iodized Salt;"
Frary_Lunch_Vegan Lemon Bundt Cake,Frary,Lunch,Desserts,Vegan Lemon Bundt Cake,97.00 CK,263.26,2.77,0.42,NA,0,979.19,56.89,1.08,33.33,NA,3.29,2.1,5.06,58.2,1.47,32.65,0,N/A,N/A,"Soy, Wheat","Cane Sugar, All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Lemon, Organic Soy Milk, Iodized Salt, Sugar, Cornstarch, Sodium Bicarbonate, White Distilled Vinegar (Diluted With Water To 5% Acidity)"
Frary_Dinner_Fried Chicken,Frary,Dinner,Mainline,Fried Chicken,127.00 FHP2,201.59,11.51,3.6,0,93.59,863.95,10.08,1.44,0,NA,15.84,0,0,86.4,0,0,0,N/A,N/A,"Egg, Wheat","Chicken Portions, Water, Salt, Sodium Phosphates, Seasoning (Salt, Modified Corn Starch, Natural Flavor, Polysorbate 80, And Less Than 10 Ppm Sulfiting Agents), Wheat Flour, Salt, Yellow Corn Flour, Modified Corn Starch, Wheat Gluten, Spices, Egg Whites, Onion Powder, Paprika, Honey, Wheat Starch, Spice Extractive"
Frary_Dinner_Mashed Potatoes,Frary,Dinner,Mainline,Mashed Potatoes,85.00 FHP2,103.19,6.91,4.38,NA,21.78,99.16,8.19,1.47,0.81,NA,2.05,242.44,6.84,38.05,1.9,241.59,0,N/A,N/A,Milk,"Potato, Milk, Vitamin D3, Unsalted Butter (Pasteurized Cream), Cream, Carrageenan, Mono And Diglycerides, Polysorbate 80 (Vegetarian), Kosher Salt, White Pepper, Garlic"
Frary_Dinner_Chicken Gravy,Frary,Dinner,Mainline,Chicken Gravy,59.00 GAL,36.2,2.5,1.55,NA,6.91,128.89,2.84,0.11,0.15,NA,0.42,89.25,0.02,2.81,0.16,3.29,0,N/A,N/A,"Milk, Wheat","Water, All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Unsalted Butter (Pasteurized Cream), Chicken Meat Including Natural Juices, Salt, Cane Sugar, Maltodextrin, Flavoring, Yeast Extract, Potato Starch, Turmeric, Natural Flavor, Caramel Color, Water, Vegetable Broth (Carrot, Celery, Onion, Parsnips, Turnips), Spices, Citric Acid, Sodium Benzoate (Less Than 0.1 Of 1% To Preserve Freshness), Black Pepper, Sage, Garlic"
Frary_Dinner_Macaroni and Cheese,Frary,Dinner,Mainline,Macaroni and Cheese,99.00 FHP2,262.18,17.19,10.59,NA,61.57,214.96,16.74,0.76,0.6,NA,7.81,558.93,0,152.16,0.73,0,0,N/A,N/A,"Milk, Wheat","Water, Cream, Carrageenan, Mono And Diglycerides, Polysorbate 80 (Vegetarian), Macaroni (Durum Semolina, Niacin, Ferrous Sulfate (Iron), Thiamine Mononitrate, Riboflavin, Folic Acid), Mild Cheddar Cheese (Cultured Pasteurized Milk, Salt, Enzymes, Annatto (Color)), Corn Starch, Potato Starch And Powdered Cellulose (To Prevent Caking), Natamycin (Natural Mold Inhibitor), Parmesan Cheese (Pasteurized Cow`s Milk, Cultures, Enzymes, Salt, Cellulose), Unsalted Butter (Pasteurized Cream), Parmesan Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes), Powdered Cellulose To Prevent Caking, Natamycin To Protect Flavor, Aged For 10 Months Or More, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Dijon Mustard (Water, Vinegar, Mustard Seed, Salt, White Wine, Fruit Pectin, Citric Acid, Tartaric Acid, Sugar, Spice), Kosher Salt, Cornstarch, Garlic, Onion Powder, White Pepper"
